customer_id,age,total_spend,items_purchased,average_rating,discount_applied,days_since_last_purchase,clv,aov,purchase_frequency,recency_score,frequency_score,monetary_score,rfm_score,rfm_value,norm_frequency,norm_rating,norm_recency,engagement_score,discount_user,gender_Male,city_Houston,city_Los Angeles,city_Miami,city_New York,city_San Francisco,membership_type_Gold,membership_type_Silver,satisfaction_level_Satisfied,satisfaction_level_Unsatisfied,rfm_segment_Champions,rfm_segment_Hibernating,rfm_segment_Loyal,rfm_segment_Need Attention,rfm_segment_New Customer,rfm_segment_Potential Loyalist,age_group_Late 30s (35-39),age_group_Mature (40+),age_group_Young (< 30),spending_category_Low Spender,spending_category_Medium Spender,spending_category_Premium Spender,churn_risk_Low Risk,churn_risk_Medium Risk
101,-0.9451520560501482,0.7601301393679355,0.3373458998387599,1.0019811499741438,True,-0.11835933442110627,0.7601301393679355,1.645599762728693,14,-0.05986843400892507,0.8612894806244219,0.7382782133192329,344,0.5818858970235739,0.5,0.8421052631578942,0.7037037037037037,0.5675174670573473,1,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
102,0.08282563076635878,-0.17945875178664214,-0.38553817124429685,0.13947893037023135,False,-0.6399067612767009,-0.17945875178664214,0.6372551149108572,11,0.6385966294285329,-0.5343184740910764,0.030340200547365633,423,0.050829667666987724,0.2857142857142857,0.5789473684210522,0.8333333333333334,0.059630727400673295,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
103,1.9331854670360713,-0.9255703307944351,-0.867460885299668,-1.0680241770752457,True,1.1482558450853377,-0.9255703307944351,-0.9437038279658013,9,-1.456798560883841,-1.2321224514488254,-0.6775978122245017,112,-1.2768109057244774,0.1428571428571428,0.21052631578947367,0.38888888888888895,-1.1558564349925498,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False
104,-0.7395565186868468,1.7561441508626756,1.5421526849771878,1.1744815938949273,False,-1.0869474128672105,1.7561441508626756,1.4114523734048647,19,1.3370616928659909,1.559093457982171,1.4462162260911002,555,1.643998355736746,0.857142857142857,0.8947368421052628,0.9444444444444444,1.4997957832587552,0,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
105,-1.356343130776751,-0.345691581808397,0.09638454281107432,-0.03302151355055053,True,2.1168439235314422,-0.345691581808397,-1.0922458657494376,13,-1.456798560883841,0.16348550326667274,0.030340200547365633,133,-0.4802265616895984,0.4285714285714285,0.5263157894736841,0.14814814814814825,-0.6034389416761737,1,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
106,0.699612242856263,-1.1190476429412195,-1.1084222423273535,-1.5855255088375928,False,-0.3418796602163611,-1.1190476429412195,-1.1273480187703537,8,-0.05986843400892507,-1.2321224514488254,-1.385535824996369,311,-1.0112827910461843,0.0714285714285714,0.05263157894736836,0.7592592592592593,-1.0138303191536524,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
107,-0.5339609813235454,0.8442146324238643,0.5783072568664455,0.829480706053362,True,0.10516099137414857,0.8442146324238643,1.2774633848561312,15,-0.758333497446383,0.8612894806244219,0.7382782133192329,244,0.3163577823452808,0.5714285714285714,0.7894736842105261,0.6481481481481481,0.5518304970181346,1,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
108,0.2884211681296602,-0.12303363144647918,-0.14457681421661125,0.3119793742910148,False,-0.9379338623370407,-0.12303363144647918,0.16836377190621132,12,1.3370616928659909,0.16348550326667274,0.030340200547365633,533,0.5818858970235739,0.3571428571428571,0.6315789473684208,0.9074074074074074,0.32850202033084225,0,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
109,1.5219943923094685,-0.9684423585038727,-0.6264995282719824,-0.7230232892336804,True,0.9992422945551679,-0.9684423585038727,-1.747842784670585,10,-1.456798560883841,-0.5343184740910764,-0.6775978122245017,122,-1.0112827910461843,0.2142857142857142,0.3157894736842104,0.42592592592592593,-0.868093307176447,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True
110,-1.1507475934134497,1.866228454271425,2.024075399032559,1.3469820378157091,False,-1.3104677386624655,1.866228454271425,0.7965435039440073,21,1.3370616928659909,1.559093457982171,1.4462162260911002,555,1.643998355736746,1.0,0.9473684210526314,1.0,1.8616081567438327,0,True,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
